Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:15:46,2022-07-21 13:17:32,1m - 45.185s,PASSED
,,,,,,,
Test Cases/Data-driven samples/Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:15:47,2022-07-21 13:17:32,1m - 44.832s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:15:47,2022-07-21 13:16:01,13.533s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 103.0.5060.114,,,2022-07-21 13:16:01,2022-07-21 13:16:01,0.327s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 103.0.5060.114,,,2022-07-21 13:16:01,2022-07-21 13:16:04,3.238s,PASSED
product = findTestData(dataFile),Chrome 103.0.5060.114,,,2022-07-21 13:16:04,2022-07-21 13:16:05,0.477s,PASSED
productList =  }).collect(Collectors.toList()),Chrome 103.0.5060.114,,,2022-07-21 13:16:05,2022-07-21 13:16:05,0.051s,PASSED
for (def productName : productList),Chrome 103.0.5060.114,,,2022-07-21 13:16:05,2022-07-21 13:16:53,48.407s,PASSED
sample.Checkout.CheckoutShopWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:16:53,2022-07-21 13:17:31,37.750s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-21 13:17:31,2022-07-21 13:17:32,0.720s,PASSED
